Rank,Address,Balance
73,"3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnEwallet: OKEx 7d:+4.11 BTC / 30d:-2819 BTCBalance:10,634 BTC ($639,675,150) Ins:1070 Outs:1019","10,634 BTC ($639,675,150)"
74,"bc1qxlth5har0qasqvattsjvgp80st2x402u5shuudBalance:10,500 BTC ($631,638,778) Ins:3 Outs:0","10,500 BTC ($631,638,778)"
75,"3Jyi6RfokawNhkjWHtTnsFRd3o6mAjiK1yBalance:10,475 BTC ($630,105,542) Ins:2 Outs:0","10,475 BTC ($630,105,542)"
76,"1Q8QR5k32hexiMQnRgkJ6fmmjn5fMWhdv9wallet: Binance-PoolBalance:10,217 BTC ($614,597,474) Ins:1599 Outs:0","10,217 BTC ($614,597,474)"
77,"3G98jSULfhrES1J9HKfZdDjXx1sTNvHkhN 7d:+2162 BTC / 30d:+3484 BTCBalance:10,043 BTC ($604,144,160) Ins:89 Outs:45","10,043 BTC ($604,144,160)"
78,"1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccrBalance:10,009 BTC ($602,117,666) Ins:82 Outs:0","10,009 BTC ($602,117,666)"
79,"bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtqBalance:10,002 BTC ($601,665,142) Ins:9 Outs:0","10,002 BTC ($601,665,142)"
80,"1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fVBalance:10,000 BTC ($601,565,140) Ins:50 Outs:0","10,000 BTC ($601,565,140)"
81,"14YK4mzJGo5NKkNnmVJeuEAQftLt795GecBalance:10,000 BTC ($601,562,567) Ins:62 Outs:0","10,000 BTC ($601,562,567)"
82,"1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXTBalance:10,000 BTC ($601,561,941) Ins:46 Outs:0","10,000 BTC ($601,561,941)"
83,"1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYmBalance:10,000 BTC ($601,561,437) Ins:71 Outs:0","10,000 BTC ($601,561,437)"
84,"1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrtBalance:10,000 BTC ($601,561,194) Ins:56 Outs:0","10,000 BTC ($601,561,194)"
85,"12tLs9c9RsALt4ockxa1hB4iTCTSmxj2meBalance:10,000 BTC ($601,561,107) Ins:55 Outs:0","10,000 BTC ($601,561,107)"
86,"1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRttBalance:10,000 BTC ($601,561,064) Ins:47 Outs:0","10,000 BTC ($601,561,064)"
87,"1CPaziTqeEixPoSFtJxu74uDGbpEAotZomBalance:10,000 BTC ($601,561,045) Ins:44 Outs:0","10,000 BTC ($601,561,045)"
88,"1DzsfLRDfbmQM99xm59au2SrTY3YmciBSBBalance:10,000 BTC ($601,560,963) Ins:12 Outs:1","10,000 BTC ($601,560,963)"
89,"1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTmBalance:10,000 BTC ($601,560,934) Ins:11 Outs:1","10,000 BTC ($601,560,934)"
90,"12HnxiXEeKUVjQRbMVTytsGWnzHd5LdGCtBalance:10,000 BTC ($601,560,880) Ins:12 Outs:1","10,000 BTC ($601,560,880)"
91,"17uULjz9moeLyjXHoKNwDRgKzf8ahY3JiaBalance:10,000 BTC ($601,560,876) Ins:11 Outs:1","10,000 BTC ($601,560,876)"
92,"18qNs1yBGGKR8RyErnEF5kegbNUgPfixhSBalance:10,000 BTC ($601,560,847) Ins:10 Outs:1","10,000 BTC ($601,560,847)"
93,"1MewpRkpcbFdqamPPYc1bXa9AJ189SuccyBalance:10,000 BTC ($601,560,770) Ins:8 Outs:1","10,000 BTC ($601,560,770)"
94,"1MtUMTqtdrpT6Rar5fgWoyrzAevatssej5Balance:10,000 BTC ($601,560,769) Ins:9 Outs:1","10,000 BTC ($601,560,769)"
95,"1NhJGUJu8rrTwPS4vopsdTqqcK4nAwdLwJBalance:10,000 BTC ($601,560,768) Ins:8 Outs:1","10,000 BTC ($601,560,768)"
96,"1DP3VYwN6ozHXDDaETbvNFLd86CAXfaewiBalance:10,000 BTC ($601,560,767) Ins:7 Outs:1","10,000 BTC ($601,560,767)"
97,"1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kPBalance:10,000 BTC ($601,560,611) Ins:9 Outs:1","10,000 BTC ($601,560,611)"
98,"1LnoZawVFFQihU8d8ntxLMpYheZUfyeVAKwallet: OKXBalance:10,000 BTC ($601,560,485) Ins:46 Outs:0","10,000 BTC ($601,560,485)"
99,"1JQULE6yHr9UaitLr4wahTwJN7DaMX7W1Zwallet: OKXBalance:10,000 BTC ($601,560,434) Ins:27 Outs:0","10,000 BTC ($601,560,434)"
100,"1DcT5Wij5tfb3oVViF8mA8p4WrG98ahZPTwallet: OKXBalance:10,000 BTC ($601,560,432) Ins:29 Outs:0","10,000 BTC ($601,560,432)"
